,country,year,country_year,index_measure,q1_macro_appointment_procedures_ind_measure,q1_micro_appointment_judges_ind_measure,q1_micro_appointment_court_presidents_ind_measure,q1_micro_appointment_veto_ind_measure,q1_macro_selection_criteria_ind_measure,q1_micro_selection_predetermined_law_ind_measure,q1_micro_selection_intl_standards_ind_measure,q1_micro_transparency_appeal_ind_measure,q1_macro_professional_rights_ind_measure,q1_micro_judge_tenure_ind_measure,q1_micro_judge_immunity_ind_measure,q1_micro_judge_salary_ind_measure,q1_macro_professional_obligations_ind_measure,q1_micro_disciplinary_proceedings_law_ind_measure,q1_micro_disciplinary_proceedings_actors_ind_measure,q1_micro_conflict_recusal_evaluation_ind_measure,q1_macro_judicial_administration_ind_measure,q1_micro_judicial_self_governance_bodies_ind_measure,q1_micro_judicial_self_governance_competences_ind_measure,q1_micro_courts_administration_ind_measure
11,Albania,2011,Albania_2011,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
12,Albania,2012,Albania_2012,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
13,Albania,2013,Albania_2013,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
14,Albania,2014,Albania_2014,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
15,Albania,2015,Albania_2015,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
16,Albania,2016,Albania_2016,0.92,0.94,0.83,1.0,1.0,0.81,1.0,0.75,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Albania,2017,Albania_2017,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Albania,2018,Albania_2018,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Albania,2019,Albania_2019,0.94,0.94,0.83,1.0,1.0,0.89,1.0,1.0,0.67,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Albania,2020,Albania_2020,0.96,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Albania,2021,Albania_2021,0.96,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Albania,2022,Albania_2022,0.94,0.94,0.83,1.0,1.0,0.97,1.0,1.0,0.92,0.87,0.62,1.0,1.0,0.92,1.0,0.75,1.0,1.0,1.0,1.0,1.0
23,Armenia,2000,Armenia_2000,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
24,Armenia,2001,Armenia_2001,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
25,Armenia,2002,Armenia_2002,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
26,Armenia,2003,Armenia_2003,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
27,Armenia,2004,Armenia_2004,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
28,Armenia,2005,Armenia_2005,0.55,0.0,0.0,0.0,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
29,Armenia,2006,Armenia_2006,0.62,0.33,0.5,0.5,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
30,Armenia,2007,Armenia_2007,0.62,0.33,0.5,0.5,0.0,0.69,1.0,1.0,0.08,0.83,0.75,0.75,1.0,0.49,0.38,0.42,0.67,0.74,1.0,0.22,1.0
31,Armenia,2008,Armenia_2008,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
32,Armenia,2009,Armenia_2009,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
33,Armenia,2010,Armenia_2010,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
34,Armenia,2011,Armenia_2011,0.67,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.62,0.62,0.58,0.67,0.74,1.0,0.22,1.0
35,Armenia,2012,Armenia_2012,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
36,Armenia,2013,Armenia_2013,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
37,Armenia,2014,Armenia_2014,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
38,Armenia,2015,Armenia_2015,0.69,0.33,0.5,0.5,0.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
39,Armenia,2016,Armenia_2016,0.76,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
40,Armenia,2017,Armenia_2017,0.76,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.83,0.75,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
41,Armenia,2018,Armenia_2018,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
42,Armenia,2019,Armenia_2019,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
43,Armenia,2020,Armenia_2020,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
44,Armenia,2021,Armenia_2021,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
45,Armenia,2022,Armenia_2022,0.78,0.67,0.5,0.5,1.0,0.83,1.0,1.0,0.5,0.92,1.0,0.75,1.0,0.73,0.62,0.58,1.0,0.74,1.0,0.22,1.0
46,Austria,2000,Austria_2000,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
47,Austria,2001,Austria_2001,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
48,Austria,2002,Austria_2002,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
49,Austria,2003,Austria_2003,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
50,Austria,2004,Austria_2004,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
51,Austria,2005,Austria_2005,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
52,Austria,2006,Austria_2006,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
53,Austria,2007,Austria_2007,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
54,Austria,2008,Austria_2008,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
55,Austria,2009,Austria_2009,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
56,Austria,2010,Austria_2010,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
57,Austria,2011,Austria_2011,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
58,Austria,2012,Austria_2012,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
59,Austria,2013,Austria_2013,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
60,Austria,2014,Austria_2014,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
61,Austria,2015,Austria_2015,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
62,Austria,2016,Austria_2016,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
63,Austria,2017,Austria_2017,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
64,Austria,2018,Austria_2018,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
65,Austria,2019,Austria_2019,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
66,Austria,2020,Austria_2020,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
67,Austria,2021,Austria_2021,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
68,Austria,2022,Austria_2022,0.58,0.0,0.0,0.0,0.0,0.75,1.0,1.0,0.25,0.83,0.75,0.75,1.0,0.51,0.62,0.58,0.33,0.8,1.0,0.89,0.5
69,Azerbaijan,2000,Azerbaijan_2000,0.29,0.0,0.0,0.0,0.0,0.44,1.0,0.25,0.08,0.42,0.25,0.5,0.5,0.35,0.12,0.25,0.67,0.22,0.33,0.0,0.33
70,Azerbaijan,2001,Azerbaijan_2001,0.29,0.0,0.0,0.0,0.0,0.44,1.0,0.25,0.08,0.42,0.25,0.5,0.5,0.35,0.12,0.25,0.67,0.22,0.33,0.0,0.33
71,Azerbaijan,2002,Azerbaijan_2002,0.29,0.0,0.0,0.0,0.0,0.44,1.0,0.25,0.08,0.42,0.25,0.5,0.5,0.35,0.12,0.25,0.67,0.22,0.33,0.0,0.33
72,Azerbaijan,2003,Azerbaijan_2003,0.29,0.0,0.0,0.0,0.0,0.44,1.0,0.25,0.08,0.42,0.25,0.5,0.5,0.35,0.12,0.25,0.67,0.22,0.33,0.0,0.33
73,Azerbaijan,2004,Azerbaijan_2004,0.29,0.0,0.0,0.0,0.0,0.44,1.0,0.25,0.08,0.42,0.25,0.5,0.5,0.35,0.12,0.25,0.67,0.22,0.33,0.0,0.33
74,Azerbaijan,2005,Azerbaijan_2005,0.36,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.42,0.25,0.5,0.5,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
75,Azerbaijan,2006,Azerbaijan_2006,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
76,Azerbaijan,2007,Azerbaijan_2007,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
77,Azerbaijan,2008,Azerbaijan_2008,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
78,Azerbaijan,2009,Azerbaijan_2009,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
79,Azerbaijan,2010,Azerbaijan_2010,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
80,Azerbaijan,2011,Azerbaijan_2011,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
81,Azerbaijan,2012,Azerbaijan_2012,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
82,Azerbaijan,2013,Azerbaijan_2013,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
83,Azerbaijan,2014,Azerbaijan_2014,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
84,Azerbaijan,2015,Azerbaijan_2015,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
85,Azerbaijan,2016,Azerbaijan_2016,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
86,Azerbaijan,2017,Azerbaijan_2017,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
87,Azerbaijan,2018,Azerbaijan_2018,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
88,Azerbaijan,2019,Azerbaijan_2019,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
89,Azerbaijan,2020,Azerbaijan_2020,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
90,Azerbaijan,2021,Azerbaijan_2021,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
91,Azerbaijan,2022,Azerbaijan_2022,0.39,0.0,0.0,0.0,0.0,0.53,1.0,0.25,0.33,0.58,0.25,0.5,1.0,0.52,0.38,0.5,0.67,0.33,0.33,0.33,0.33
92,Belgium,2000,Belgium_2000,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
93,Belgium,2001,Belgium_2001,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
94,Belgium,2002,Belgium_2002,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
95,Belgium,2003,Belgium_2003,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
96,Belgium,2004,Belgium_2004,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
97,Belgium,2005,Belgium_2005,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
98,Belgium,2006,Belgium_2006,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
99,Belgium,2007,Belgium_2007,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
100,Belgium,2008,Belgium_2008,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
101,Belgium,2009,Belgium_2009,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
102,Belgium,2010,Belgium_2010,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
103,Belgium,2011,Belgium_2011,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
104,Belgium,2012,Belgium_2012,0.7,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.74,0.88,0.67,0.67,0.54,0.67,0.78,0.17
105,Belgium,2013,Belgium_2013,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
106,Belgium,2014,Belgium_2014,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
107,Belgium,2015,Belgium_2015,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
108,Belgium,2016,Belgium_2016,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
109,Belgium,2017,Belgium_2017,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
110,Belgium,2018,Belgium_2018,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
111,Belgium,2019,Belgium_2019,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
112,Belgium,2020,Belgium_2020,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
113,Belgium,2021,Belgium_2021,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
114,Belgium,2022,Belgium_2022,0.71,0.33,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.75,1.0,0.82,0.88,0.92,0.67,0.54,0.67,0.78,0.17
115,Bosnia and Herzegovina,2000,Bosnia and Herzegovina_2000,0.53,0.83,0.5,1.0,1.0,0.47,1.0,0.25,0.17,0.71,0.88,0.75,0.5,0.35,0.12,0.25,0.67,0.28,0.5,0.33,0.0
116,Bosnia and Herzegovina,2001,Bosnia and Herzegovina_2001,0.64,0.83,0.5,1.0,1.0,0.75,1.0,0.25,1.0,0.71,0.88,0.75,0.5,0.51,0.62,0.25,0.67,0.39,0.5,0.33,0.33
117,Bosnia and Herzegovina,2002,Bosnia and Herzegovina_2002,0.63,0.72,0.5,0.67,1.0,0.5,1.0,0.25,0.25,0.71,0.88,0.75,0.5,0.68,0.88,0.5,0.67,0.56,0.67,0.67,0.33
118,Bosnia and Herzegovina,2003,Bosnia and Herzegovina_2003,0.63,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.71,0.88,0.75,0.5,0.71,0.88,0.58,0.67,0.56,0.67,0.67,0.33
119,Bosnia and Herzegovina,2004,Bosnia and Herzegovina_2004,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
120,Bosnia and Herzegovina,2005,Bosnia and Herzegovina_2005,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
121,Bosnia and Herzegovina,2006,Bosnia and Herzegovina_2006,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
122,Bosnia and Herzegovina,2007,Bosnia and Herzegovina_2007,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
123,Bosnia and Herzegovina,2008,Bosnia and Herzegovina_2008,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
124,Bosnia and Herzegovina,2009,Bosnia and Herzegovina_2009,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
125,Bosnia and Herzegovina,2010,Bosnia and Herzegovina_2010,0.68,0.67,0.5,0.5,1.0,0.5,1.0,0.25,0.25,0.79,0.88,1.0,0.5,0.9,0.88,0.83,1.0,0.56,0.67,0.67,0.33
